"","CASE_STATUS","PW_SKILL_LEVEL","WAGE_OFFER_UNIT_OF_PAY","MINIMUM_EDUCATION","REQUIRED_EXPERIENCE","ACCEPT_ALT_OCCUPATION","FOREIGN_LANGUAGE_REQUIRED","PROFESSIONAL_OCCUPATION","COUNTRY_OF_CITIZENSHIP","CLASS_OF_ADMISSION","FOREIGN_WORKER_EDUCATION","FOREIGN_WORKER_YRS_SINCE_ED","FOREIGN_WORKER_ED_INST_US","FOREIGN_WORKER_REQ_EXPERIENCE","FOREIGN_WORKER_EXP_WITH_EMPL","FOREIGN_WORKER_CURR_EMPLOYED","EMPLOYER_COMPLETED_APPLICATION","WAITING_PERIOD","PW_WAGE_HOURLY"
"1",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",4,"1","Y","0",1,0,192,56.3899038461538
"2",1,2,"Year","Master's",0,0,0,1,"INDIA","H-1B","Bachelor's",14,"0","N/A","0",1,0,203,46.45
"3",1,2,"Year","Master's",1,1,0,1,"INDIA","F-1","Master's",5,"1","Y","0",1,0,222,38.2201923076923
"4",1,2,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",15,"0","N/A","0",1,0,124,48.9298076923077
"5",1,1,"Year","Master's",0,0,0,0,"SOUTH KOREA","H-1B","Master's",6,"1","N/A","UNK",1,0,157,21.0576923076923
"6",1,2,"Year","Bachelor's",0,0,0,1,"PHILIPPINES","Not in USA","Bachelor's",21,"0","N/A","UNK",0,0,133,22.1798076923077
"7",1,4,"Year","Bachelor's",0,1,0,1,"VENEZUELA","Parolee","Bachelor's",12,"0","N/A","0",1,0,145,30.5201923076923
"8",1,2,"Year","Master's",0,1,0,1,"CHILE","F-1","Master's",1,"1","N/A","0",1,0,176,37.0798076923077
"9",1,1,"Year","Bachelor's",1,0,0,1,"VENEZUELA","F-1","Bachelor's",3,"1","Y","UNK",0,0,142,16.2298076923077
"10",1,4,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","N/A","0",1,0,363,53.0798076923077
"11",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",11,"0","N","0",1,0,211,53.4798076923077
"12",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",16,"0","Y","0",1,0,197,61.6399038461538
"13",1,4,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",14,"0","N","0",1,0,346,59.4
"14",1,4,"Year","Other",1,0,0,1,"CHINA","H-1B","Other",5,"1","Y","0",1,1,232,34.3
"15",1,4,"Year","Bachelor's",1,1,0,1,"UNITED KINGDOM","L-1","Master's",16,"0","N","0",1,0,183,37.1899038461538
"16",1,3,"Year","Master's",0,0,0,1,"INDIA","H-1B","Master's",4,"1","N/A","UNK",1,0,158,51.2798076923077
"17",1,1,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","N","0",1,0,218,34.4899038461538
"18",1,2,"Year","Bachelor's",1,1,0,1,"AUSTRALIA","L-1","Bachelor's",7,"0","Y","0",1,0,182,38.8399038461538
"19",1,4,"Year","Bachelor's",0,1,0,1,"SOUTH AFRICA","L-1","Bachelor's",9,"0","N/A","UNK",1,0,159,69.2
"20",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",12,"0","Y","0",1,0,159,46.4399038461538
"21",1,1,"Year","Bachelor's",0,0,0,1,"PHILIPPINES","H-1B","Bachelor's",26,"0","N/A","UNK",1,0,328,16.6586538461538
"22",1,2,"Year","Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",8,"0","N/A","0",1,0,212,39.4399038461538
"23",1,3,"Year","Master's",1,1,0,1,"INDIA","H-1B","Bachelor's",9,"0","N","0",0,0,184,54.65
"24",1,2,"Year","Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","N","0",1,0,157,37.4399038461538
"25",1,4,"Year","Master's",0,1,0,1,"INDIA","H-1B","Master's",14,"1","N/A","0",1,0,235,68.9298076923077
"26",1,4,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",11,"1","N","0",1,0,213,74.5701923076923
"27",1,2,"Year","Master's",1,1,0,1,"INDIA","H-1B","Master's",4,"1","N","0",1,0,175,57.9701923076923
"28",1,3,"Year","Master's",1,1,0,1,"CHINA","F-1","Doctorate",2,"1","N","0",1,0,218,63.3298076923077
"29",1,2,"Year","Master's",0,0,0,1,"CHINA","H-1B","Master's",3,"1","N/A","0",1,0,183,56.6201923076923
