"","CASE_STATUS","PW_SKILL_LEVEL","WAGE_OFFER_UNIT_OF_PAY","MINIMUM_EDUCATION","REQUIRED_EXPERIENCE","ACCEPT_ALT_OCCUPATION","FOREIGN_LANGUAGE_REQUIRED","PROFESSIONAL_OCCUPATION","COUNTRY_OF_CITIZENSHIP","CLASS_OF_ADMISSION","FOREIGN_WORKER_EDUCATION","FOREIGN_WORKER_YRS_SINCE_ED","FOREIGN_WORKER_ED_INST_US","FOREIGN_WORKER_REQ_EXPERIENCE","FOREIGN_WORKER_EXP_WITH_EMPL","FOREIGN_WORKER_CURR_EMPLOYED","EMPLOYER_COMPLETED_APPLICATION","WAITING_PERIOD","PW_WAGE_HOURLY"
"1",1,2,1,"Master's",0,0,0,1,"CHINA","F-1","Master's",4,"1","N/A","UNK",1,0,217,39.0600961538462
"2",1,2,1,"Master's",0,1,0,1,"CHINA","H-1B","Master's",5,"1","N/A","0",1,0,204,58.85
"3",1,2,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",12,"0","N/A","0",1,0,206,45.3399038461538
"4",1,1,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",1,"1","N","0",1,0,140,44.2798076923077
"5",1,3,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",6,"1","N/A","UNK",1,0,165,46.9201923076923
"6",1,1,1,"Other",0,0,0,1,"PAKISTAN","H-1B","Other",9,"0","N/A","UNK",1,0,172,32.2899038461538
"7",1,1,1,"Bachelor's",1,1,0,1,"MEXICO","TN","Bachelor's",3,"0","N","0",1,0,328,44.8
"8",1,4,1,"Bachelor's",1,1,0,1,"INDIA","L-1","Bachelor's",11,"0","N","0",1,0,155,65.3201923076923
"9",1,3,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",4,"1","N","0",1,0,153,70.0600961538462
"10",1,3,1,"Master's",0,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","N/A","0",1,0,214,70.2201923076923
"11",1,2,1,"Bachelor's",1,1,0,1,"INDIA","Not in USA","Bachelor's",18,"0","N","0",0,0,222,46.4399038461538
"12",1,2,1,"Other",0,0,0,1,"PAKISTAN","H-1B","Other",14,"0","N/A","UNK",1,0,244,100
"13",1,2,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",10,"0","N","0",1,0,219,58.85
"14",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",9,"0","N","0",1,0,207,67.2
"15",1,2,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",20,"0","Y","0",1,0,185,41.1100961538462
"16",1,3,1,"Master's",1,1,0,1,"INDIA","H-1B","Bachelor's",13,"0","Y","0",1,0,159,58.7600961538462
"17",1,1,1,"Bachelor's",0,1,0,1,"MEXICO","L-1","Bachelor's",10,"0","N/A","0",1,0,228,27.8298076923077
"18",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",7,"1","N/A","0",1,0,198,50.0100961538462
"19",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",4,"1","N/A","0",1,0,148,58.1399038461538
"20",1,2,1,"Bachelor's",1,1,0,1,"UKRAINE","H-1B","Bachelor's",3,"0","Y","0",1,0,161,57.2701923076923
"21",1,2,1,"Master's",0,0,0,1,"SOUTH KOREA","UNK","Master's",1,"1","N/A","UNK",1,0,172,39.55
"22",1,2,1,"Master's",1,0,0,1,"VENEZUELA","F-1","Master's",2,"1","Y","0",0,0,212,42.75
"23",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",15,"0","N/A","0",1,0,182,74.8798076923077
"24",1,2,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",4,"1","N/A","UNK",1,0,151,35.5899038461538
"25",1,0,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",10,"0","N","0",1,0,209,49.5331730769231
"26",1,2,1,"Master's",0,1,0,1,"CHINA","H-1B","Master's",4,"1","N/A","0",1,0,215,35.9798076923077
"27",1,0,1,"Bachelor's",1,1,0,1,"UNITED KINGDOM","E-2","Bachelor's",15,"0","N","0",1,0,332,69.7625
